epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,205.21,1.33184,0.90351,1.07175,0.77217,0.64523,0.69104,0.38922,1.47367,1.05347,1.05512,0.0095941,0.0095941,0.0095941
43,210.489,1.32912,0.90346,1.06924,0.77198,0.6312,0.68585,0.39095,1.44443,1.06473,1.04414,0.0095842,0.0095842,0.0095842
44,215.362,1.31047,0.88047,1.06789,0.76868,0.64924,0.69403,0.40527,1.39519,1.03892,1.0236,0.0095743,0.0095743,0.0095743
45,220.212,1.31647,0.89212,1.06735,0.77248,0.65325,0.69611,0.40067,1.42943,1.02927,1.0511,0.0095644,0.0095644,0.0095644
46,225.131,1.31716,0.89563,1.06928,0.77489,0.6422,0.69084,0.40113,1.39743,1.03804,1.01815,0.0095545,0.0095545,0.0095545
47,229.955,1.31278,0.90591,1.06235,0.74764,0.64751,0.69092,0.40142,1.38512,1.05241,1.02227,0.0095446,0.0095446,0.0095446
48,234.711,1.32701,0.89314,1.07008,0.77891,0.63546,0.6806,0.38969,1.45541,1.03307,1.06538,0.0095347,0.0095347,0.0095347
49,239.783,1.31689,0.87688,1.06646,0.782,0.63708,0.70229,0.39992,1.43842,1.02151,1.0341,0.0095248,0.0095248,0.0095248
50,244.696,1.30597,0.87931,1.05829,0.77056,0.64425,0.69821,0.40963,1.37317,1.03478,1.01897,0.0095149,0.0095149,0.0095149
51,249.539,1.29759,0.86622,1.05562,0.78131,0.64534,0.69757,0.40782,1.3732,1.00824,1.01842,0.009505,0.009505,0.009505
52,254.542,1.30863,0.87377,1.05901,0.77887,0.64562,0.7018,0.40825,1.4156,1.01606,1.03063,0.0094951,0.0094951,0.0094951
53,259.353,1.29212,0.86093,1.06216,0.77229,0.64932,0.70716,0.41685,1.39862,0.99703,1.02086,0.0094852,0.0094852,0.0094852
54,264.253,1.29665,0.85697,1.05565,0.784,0.6396,0.69748,0.41402,1.36021,1.02412,1.01689,0.0094753,0.0094753,0.0094753
55,269.119,1.28227,0.86249,1.054,0.76928,0.64734,0.70214,0.41271,1.39233,1.02051,1.01914,0.0094654,0.0094654,0.0094654
56,274.169,1.27907,0.84658,1.06009,0.77642,0.64497,0.7002,0.40957,1.39564,1.01214,1.02355,0.0094555,0.0094555,0.0094555
57,279.053,1.27394,0.85843,1.04704,0.80381,0.64063,0.70602,0.40885,1.38688,1.02808,1.03491,0.0094456,0.0094456,0.0094456
58,283.936,1.27902,0.85237,1.05904,0.77784,0.65475,0.70198,0.40637,1.42548,1.01338,1.03041,0.0094357,0.0094357,0.0094357
59,288.726,1.28592,0.83734,1.05357,0.77717,0.65579,0.69971,0.41136,1.38034,0.99613,1.0337,0.0094258,0.0094258,0.0094258
60,293.435,1.27373,0.84044,1.05061,0.74993,0.6549,0.68638,0.39847,1.39621,1.01912,1.02888,0.0094159,0.0094159,0.0094159
61,298.29,1.27822,0.84299,1.05383,0.7696,0.64226,0.6897,0.40166,1.40453,1.03275,1.03266,0.009406,0.009406,0.009406
62,303.35,1.27073,0.84021,1.05201,0.76285,0.65152,0.7028,0.40837,1.40702,1.02133,1.03726,0.0093961,0.0093961,0.0093961
63,308.162,1.25284,0.82264,1.04476,0.77759,0.64366,0.70084,0.41106,1.38018,1.00293,1.01337,0.0093862,0.0093862,0.0093862
64,313.007,1.26819,0.82518,1.04976,0.78224,0.64935,0.70512,0.42131,1.34653,0.9844,1.01207,0.0093763,0.0093763,0.0093763
65,317.941,1.25295,0.82045,1.03752,0.76501,0.64554,0.69525,0.41736,1.37401,0.99682,1.00706,0.0093664,0.0093664,0.0093664
66,322.654,1.25234,0.81885,1.04087,0.77467,0.64412,0.70475,0.41058,1.37513,0.99053,1.01756,0.0093565,0.0093565,0.0093565
67,327.514,1.24869,0.81673,1.04423,0.77776,0.64454,0.69527,0.40822,1.40284,0.99268,1.02506,0.0093466,0.0093466,0.0093466
